(-7280, 10917, -746)
(-7337, 10995, -845)
(-7394, 11073, -944)
(-7451, 11151, -1043)
(-7508, 11229, -1142)
(-7565, 11307, -1241)
(-7622, 11385, -1340)
(-7679, 11463, -1439)
(-7736, 11541, -1538)
(-7793, 11619, -1637)
(-7850, 11697, -1736)
(-7907, 11775, -1835)
(-7964, 11853, -1934)
(-8021, 11931, -2033)
(-8078, 12009, -2132)
(-8135, 12087, -2231)
(-8192, 12165, -2330)
(-8249, 12243, -2429)
(-8306, 12321, -2528)
(-8363, 12399, -2627)
(-8420, 12477, -2726)
(-8477, 12555, -2825)
(-8534, 12633, -2924)
(-8591, 12711, -3023)
(-8648, 12789, -3122)
(-8705, 12867, -3221)
(-8762, 12945, -3320)
(-8819, 13023, -3419)
(-8876, 13101, -3518)
(-8933, 13179, -3617)
(-8990, 13257, -3716)
(-9047, 13335, -3815)
(-9104, 13413, -3914)
(-9161, 13491, -4013)
(-9218, 13569, -4112)
(-9275, 13647, -4211)
(-9332, 13725, -4310)
(-9389, 13803, -4409)
(-9446, 13881, -4508)
(-9503, 13959, -4607)
(-9560, 14037, -4706)
(-9617, 14115, -4805)
(-9674, 14193, -4904)
(-9731, 14271, -5003)
(-9788, 14349, -5102)
(-9845, 14427, -5201)
(-9902, 14505, -5300)
(-9959, 14583, -5399)
(-4267, 6783, 4352)
(-4324, 6861, 4253)
(-4381, 6939, 4154)
(-4438, 7017, 4055)
(-4495, 7095, 3956)
(-4552, 7173, 3857)
(-4609, 7251, 3758)
(-4666, 7329, 3659)
(-4723, 7407, 3560)
(-4780, 7485, 3461)
(-4837, 7563, 3362)
(-4894, 7641, 3263)
(-4951, 7719, 3164)
(-5008, 7797, 3065)
(-5065, 7875, 2966)
(-5122, 7953, 2867)
(-5179, 8031, 2768)
(-5236, 8109, 2669)
(-5293, 8187, 2570)
(-5350, 8265, 2471)
(-5407, 8343, 2372)
(-5464, 8421, 2273)
(-5521, 8499, 2174)
(-5578, 8577, 2075)
(-5635, 8655, 1976)
(-5692, 8733, 1877)
(-5749, 8811, 1778)
(-5806, 8889, 1679)
(-5863, 8967, 1580)
(-5920, 9045, 1481)
(-5977, 9123, 1382)
(-6034, 9201, 1283)
(-6091, 9279, 1184)
(-6148, 9357, 1085)
(-6205, 9435, 986)
(-6262, 9513, 887)
(-6319, 9591, 788)
(-6376, 9669, 689)
(-6433, 9747, 590)
(-6490, 9825, 491)
(-6547, 9903, 392)
(-6604, 9981, 293)
(-6661, 10059, 194)
(-6718, 10137, 95)
(-6775, 10215, -4)
(-6832, 10293, -103)
(-6889, 10371, -202)
(-6946, 10449, -301)
(-7003, 10527, -400)
(-7060, 10605, -499)
(-7117, 10683, -598)
(-7174, 10761, -697)
(-7231, 10839, -796)
(-7288, 10917, -895)
(-7345, 10995, -994)
(-7402, 11073, -1093)
(-7459, 11151, -1192)
(-7516, 11229, -1291)
(-7573, 11307, -1390)
(-7630, 11385, -1489)
(-7687, 11463, -1588)
(-7744, 11541, -1687)
(-7801, 11619, -1786)
(-7858, 11697, -1885)
(-7915, 11775, -1984)
(-7972, 11853, -2083)
(-8029, 11931, -2182)
(-8086, 12009, -2281)
(-8143, 12087, -2380)
