(7439, -11082, 1058)
(7496, -11160, 1157)
(7553, -11238, 1256)
(7610, -11316, 1355)
(7667, -11394, 1454)
(7724, -11472, 1553)
(7781, -11550, 1652)
(7838, -11628, 1751)
(7895, -11706, 1850)
(7952, -11784, 1949)
(8009, -11862, 2048)
(8066, -11940, 2147)
(8123, -12018, 2246)
(8180, -12096, 2345)
(8237, -12174, 2444)
(8294, -12252, 2543)
(8351, -12330, 2642)
(8408, -12408, 2741)
(8465, -12486, 2840)
(8522, -12564, 2939)
(8579, -12642, 3038)
(8636, -12720, 3137)
(8693, -12798, 3236)
(8750, -12876, 3335)
(8807, -12954, 3434)
(8864, -13032, 3533)
(8921, -13110, 3632)
(8978, -13188, 3731)
(3286, -5388, -6020)
(3343, -5466, -5921)
(3400, -5544, -5822)
(3457, -5622, -5723)
(3514, -5700, -5624)
(3571, -5778, -5525)
(3628, -5856, -5426)
(3685, -5934, -5327)
(3742, -6012, -5228)
(3799, -6090, -5129)
(3856, -6168, -5030)
(3913, -6246, -4931)
(3970, -6324, -4832)
(4027, -6402, -4733)
(4084, -6480, -4634)
(4141, -6558, -4535)
(4198, -6636, -4436)
(4255, -6714, -4337)
(4312, -6792, -4238)
(4369, -6870, -4139)
(4426, -6948, -4040)
(4483, -7026, -3941)
(4540, -7104, -3842)
(4597, -7182, -3743)
(4654, -7260, -3644)
(4711, -7338, -3545)
(4768, -7416, -3446)
(4825, -7494, -3347)
(4882, -7572, -3248)
(4939, -7650, -3149)
(4996, -7728, -3050)
(5053, -7806, -2951)
(5110, -7884, -2852)
(5167, -7962, -2753)
(5224, -8040, -2654)
(5281, -8118, -2555)
(5338, -8196, -2456)
(5395, -8274, -2357)
(5452, -8352, -2258)
(5509, -8430, -2159)
(5566, -8508, -2060)
(5623, -8586, -1961)
(5680, -8664, -1862)
(5737, -8742, -1763)
(5794, -8820, -1664)
(5851, -8898, -1565)
(5908, -8976, -1466)
(5965, -9054, -1367)
(6022, -9132, -1268)
(6079, -9210, -1169)
(6136, -9288, -1070)
(6193, -9366, -971)
(6250, -9444, -872)
(6307, -9522, -773)
(6364, -9600, -674)
(6421, -9678, -575)
(6478, -9756, -476)
(6535, -9834, -377)
(6592, -9912, -278)
(6649, -9990, -179)
(6706, -10068, -80)
(6763, -10146, 19)
(6820, -10224, 118)
(6877, -10302, 217)
(6934, -10380, 316)
(6991, -10458, 415)
(7048, -10536, 514)
(7105, -10614, 613)
(7162, -10692, 712)
(7219, -10770, 811)
(7276, -10848, 910)
(7333, -10926, 1009)
(7390, -11004, 1108)
(7447, -11082, 1207)
(7504, -11160, 1306)
(7561, -11238, 1405)
(7618, -11316, 1504)
(7675, -11394, 1603)
(7732, -11472, 1702)
(7789, -11550, 1801)
(7846, -11628, 1900)
(7903, -11706, 1999)
(7960, -11784, 2098)
(8017, -11862, 2197)
(8074, -11940, 2296)
(8131, -12018, 2395)
(8188, -12096, 2494)
(8245, -12174, 2593)
(8302, -12252, 2692)
(8359, -12330, 2791)
(8416, -12408, 2890)
(8473, -12486, 2989)
(8530, -12564, 3088)
(8587, -12642, 3187)
(8644, -12720, 3286)
(8701, -12798, 3385)
(8758, -12876, 3484)
(8815, -12954, 3583)
(8872, -13032, 3682)
(8929, -13110, 3781)
(3237, -5310, -5970)
(3294, -5388, -5871)
(3351, -5466, -5772)
(3408, -5544, -5673)
(3465, -5622, -5574)
(3522, -5700, -5475)
(3579, -5778, -5376)
(3636, -5856, -5277)
